CD_NOM;LB_NOM;NOM_COMPLET;NOM_VALIDE;PHYLUM;CLASSE;ORDRE;FAMILLE;SOUS_FAMILLE;TRIBU;GENRE;SOUS_GENRE
808441;Andrena espanola;Andrena espanola Warncke, 1967;Andrena nigropilosa Warncke, 1967;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Truncandrena
239341;Andrena eximia;Andrena eximia Smith, 1847;Andrena rosae Panzer, 1800;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239342;Andrena fabrella;Andrena fabrella Perez, 1903;Andrena fabrella Perez, 1903;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena
939729;Andrena fabrella fabrella;Andrena fabrella fabrella Perez, 1903;Andrena fabrella fabrella Perez, 1903;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
939730;Andrena fabrella meseta;Andrena fabrella meseta Warncke, 1975;Andrena fabrella meseta Warncke, 1975;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239343;Andrena falsifica;Andrena falsifica Perkins, 1915;Andrena falsifica Perkins, 1915;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena
239344;Andrena farinosa;Andrena farinosa Perez, 1895;Andrena farinosa Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Ovandrena
997053;Andrena fasciata;Andrena fasciata Fabricius, 1775;Amegilla fasciata (Fabricius, 1775);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Amegilla;Micramegilla
1000739;Andrena fasciata;Andrena fasciata Nylander, 1852;Andrena gravida gravida Imhoff, 1832;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239345;Andrena ferox;Andrena ferox Smith, 1847;Andrena ferox Smith, 1847;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Hoplandrena
239346;Andrena ferrugineicrus;Andrena ferrugineicrus Dours, 1872;Andrena ferrugineicrus Dours, 1872;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Truncandrena
814734;Andrena flavilabris;Andrena flavilabris Schenck, 1874;Andrena flavilabris Schenck, 1874;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Holandrena
239347;Andrena flavipes;Andrena flavipes Panzer, 1799;Andrena flavipes Panzer, 1799;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena
939731;Andrena flavipes flavipes;Andrena flavipes flavipes Panzer, 1799;Andrena flavipes flavipes Panzer, 1799;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
1001551;Andrena flessae;Andrena flessae Panzer, 1801;Andrena agilissima agilissima (Scopoli, 1770);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239348;Andrena florea;Andrena florea Fabricius, 1793;Andrena florea Fabricius, 1793;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Bryandrena
939733;Andrena florea corsica;Andrena florea corsica Warncke, 1975;Andrena florea corsica Warncke, 1975;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
939732;Andrena florea florea;Andrena florea florea Fabricius, 1793;Andrena florea florea Fabricius, 1793;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
317532;Andrena florentina;Andrena florentina Magretti, 1883;Andrena florentina Magretti, 1883;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Hyperandrena
239349;Andrena floricola;Andrena floricola Eversmann, 1852;Andrena floricola Eversmann, 1852;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena
239350;Andrena florivaga;Andrena florivaga Eversmann, 1852;Andrena florivaga Eversmann, 1852;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Lepidandrena
814735;Andrena freygessneri;Andrena freygessneri Alfken, 1904;Andrena freygessneri Alfken, 1904;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Cnemidandrena
239351;Andrena fucata;Andrena fucata Smith, 1847;Andrena fucata Smith, 1847;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena
53079;Andrena fulva;Andrena fulva (Muller, 1766);Andrena fulva (Muller, 1766);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena
716386;Andrena fulva;Andrena fulva (Schrank, 1781);Andrena fulva (Muller, 1766);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena
939734;Andrena fulva fulva;Andrena fulva fulva (Muller, 1766);Andrena fulva fulva (Muller, 1766);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239352;Andrena fulvago;Andrena fulvago (Christ, 1791);Andrena fulvago (Christ, 1791);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chrysandrena
239353;Andrena fulvata;Andrena fulvata Stoeckhert, 1930;Andrena fulvata Stoeckhert, 1930;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena
1000067;Andrena fulvescens;Andrena fulvescens Smith, 1847;Andrena humilis humilis Imhoff, 1832;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
814736;Andrena fulvicornis;Andrena fulvicornis Schenck, 1861;Andrena fulvicornis Schenck, 1861;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
1000740;Andrena fulvicrus;Andrena fulvicrus Dufour, 1841;Andrena flavipes flavipes Panzer, 1799;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239354;Andrena fulvida;Andrena fulvida Schenck, 1853;Andrena fulvida Schenck, 1853;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena
239355;Andrena fuscipes;Andrena fuscipes (Kirby, 1802);Andrena fuscipes (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Cnemidandrena
